item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
4_4,2012-05-04,58457.668,54596.766,55801.67,56712.92,57568.484,58457.668,59402.52,60462.79,61781.344,63874.3
4_4,2012-05-11,59094.867,55017.21,56232.05,57214.84,58136.043,59094.867,60093.24,61203.996,62609.24,64864.15
4_4,2012-05-18,59522.29,55317.266,56584.996,57616.02,58572.55,59522.29,60523.184,61650.09,63064.67,65412.797
4_4,2012-05-25,59884.37,55599.445,56930.29,57973.11,58930.605,59884.37,60892.18,62031.27,63466.086,65865.414
4_4,2012-06-01,60301.242,55800.688,57216.703,58309.28,59301.99,60301.242,61360.633,62529.566,64033.684,66579.13
4_4,2012-06-08,59724.188,55307.35,56713.016,57790.41,58742.23,59724.188,60751.62,61938.223,63428.496,66039.19
8_13,2012-05-04,24584.299,22936.46,23514.357,23921.965,24266.59,24584.299,24907.387,25273.328,25722.639,26356.227
8_13,2012-05-11,24573.092,22800.037,23409.107,23852.596,24228.336,24573.092,24919.479,25310.703,25792.117,26470.963
8_13,2012-05-18,24623.982,22806.967,23438.674,23893.104,24276.7,24623.982,24974.13,25368.857,25857.922,26554.64
8_13,2012-05-25,24609.27,22783.496,23426.01,23884.355,24265.252,24609.27,24960.645,25357.303,25847.898,26560.588
8_13,2012-06-01,24641.873,22782.936,23436.654,23903.727,24287.73,24641.873,24994.904,25394.523,25895.098,26618.137
8_13,2012-06-08,24654.166,22786.336,23446.932,23914.947,24301.465,24654.166,25011.705,25420.486,25924.355,26658.227
1_13,2012-05-04,40660.47,38148.26,39043.625,39646.758,40163.906,40660.47,41176.637,41760.137,42486.28,43663.895
1_13,2012-05-11,40801.938,38080.742,39023.92,39691.996,40250.906,40801.938,41355.57,41974.832,42755.125,44070.926
1_13,2012-05-18,40048.816,37279.65,38246.855,38938.906,39517.316,40048.816,40610.395,41253.51,42059.92,43438.133
1_13,2012-05-25,40197.465,37277.195,38303.375,39022.08,39639.047,40197.465,40786.75,41466.598,42323.133,43768.78
1_13,2012-06-01,41434.43,38205.195,39324.74,40122.297,40793.508,41434.43,42103.906,42846.13,43779.805,45357.074
1_13,2012-06-08,41794.645,38475.36,39650.953,40451.875,41127.29,41794.645,42479.547,43285.273,44253.805,45900.805
13_8,2012-05-04,35158.12,33065.688,33761.684,34280.54,34730.46,35158.12,35603.703,36114.742,36750.855,37738.434
13_8,2012-05-11,35119.32,32921.242,33645.95,34193.188,34666.21,35119.32,35582.3,36110.57,36774.824,37808.543
13_8,2012-05-18,35015.09,32790.777,33540.176,34098.332,34571.758,35015.09,35467.79,35989.797,36651.418,37702.125
13_8,2012-05-25,34987.81,32727.344,33495.676,34063.17,34541.16,34987.81,35443.08,35965.965,36626.324,37714.12
13_8,2012-06-01,34907.31,32602.338,33393.57,33971.94,34454.617,34907.31,35360.254,35876.29,36531.42,37631.348
13_8,2012-06-08,34827.67,32499.387,33299.055,33887.52,34378.168,34827.67,35286.12,35803.55,36459.203,37579.13
19_8,2012-05-04,41763.68,39193.33,40048.336,40681.22,41238.184,41763.68,42313.344,42933.332,43721.355,44999.34
19_8,2012-05-11,41760.895,39048.133,39927.87,40600.64,41194.164,41760.895,42340.92,43010.28,43865.566,45284.4
19_8,2012-05-18,41688.566,38948.797,39844.805,40527.83,41123.78,41688.566,42276.5,42947.312,43815.016,45290.1
19_8,2012-05-25,41722.266,38947.96,39868.32,40555.625,41152.434,41722.266,42319.285,43003.695,43885.445,45427.746
19_8,2012-06-01,41770.78,38944.285,39886.1,40587.375,41188.598,41770.78,42369.008,43047.105,43937.375,45515.98
19_8,2012-06-08,41812.42,38965.375,39917.918,40624.348,41233.766,41812.42,42412.695,43103.387,43997.082,45611.56
31_13,2012-05-04,43324.082,40802.54,41640.3,42255.68,42801.82,43324.082,43856.37,44438.945,45160.67,46206.887
31_13,2012-05-11,43922.72,41103.277,41998.816,42693.45,43320.92,43922.72,44514.69,45175.883,45988.03,47174.848
31_13,2012-05-18,44781.82,41763.223,42738.914,43487.273,44156.336,44781.82,45414.312,46104.836,46947.492,48218.13
31_13,2012-05-25,44525.19,41565.95,42543.367,43274.996,43915.605,44525.19,45153.844,45839.82,46676.754,47973.94
31_13,2012-06-01,44184.402,41205.6,42208.62,42947.445,43578.543,44184.402,44793.098,45463.75,46303.145,47621.363
31_13,2012-06-08,44214.035,41162.543,42198.88,42960.22,43606.043,44214.035,44827.797,45514.688,46369.766,47734.31
