item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
4_4,2012-05-04,60160.71,56614.203,57710.664,58501.574,59318.98,60160.71,61001.586,61951.273,63105.254,64904.4
4_4,2012-05-11,60837.766,57702.574,58618.117,59367.934,60090.035,60837.766,61641.258,62534.055,63607.45,65320.594
4_4,2012-05-18,61010.03,57863.56,58814.383,59590.74,60294.664,61010.03,61709.46,62511.914,63427.992,65010.773
4_4,2012-05-25,61021.305,58061.94,58948.254,59647.69,60297.086,61021.305,61727.312,62484.77,63298.523,64818.27
4_4,2012-06-01,62011.418,58843.73,59807.45,60567.8,61275.223,62011.418,62756.96,63509.5,64399.867,66057.04
4_4,2012-06-08,60645.016,57846.383,58720.098,59393.69,59958.895,60645.016,61359.08,62105.47,63007.78,64593.008
8_13,2012-05-04,24687.006,23363.06,23799.777,24111.807,24399.871,24687.006,24971.357,25287.89,25668.871,26193.648
8_13,2012-05-11,24615.463,23378.965,23796.656,24099.719,24360.873,24615.463,24877.816,25184.12,25540.898,26032.902
8_13,2012-05-18,24604.69,23307.408,23750.719,24074.723,24350.986,24604.69,24861.361,25153.05,25485.154,25967.977
8_13,2012-05-25,24726.457,23427.129,23895.58,24212.195,24472.0,24726.457,24984.783,25277.746,25591.549,26043.572
8_13,2012-06-01,24949.592,23597.197,24061.047,24393.709,24677.28,24949.592,25218.416,25510.29,25845.111,26339.21
8_13,2012-06-08,24680.68,23385.352,23843.248,24165.672,24420.111,24680.68,24952.918,25266.713,25607.861,26076.979
1_13,2012-05-04,42855.336,40346.684,41229.867,41793.004,42323.34,42855.336,43367.777,43959.94,44621.633,45613.17
1_13,2012-05-11,43026.477,40784.473,41538.89,42102.242,42571.594,43026.477,43495.168,44042.258,44688.98,45649.617
1_13,2012-05-18,41695.656,39538.367,40327.438,40860.633,41298.08,41695.656,42087.61,42585.477,43134.117,44062.734
1_13,2012-05-25,42125.207,39827.73,40629.434,41186.445,41664.73,42125.207,42586.793,43122.605,43649.617,44583.668
1_13,2012-06-01,43873.94,41193.777,42107.72,42760.53,43303.91,43873.94,44439.992,45056.367,45716.426,46902.01
1_13,2012-06-08,44546.4,41797.637,42832.164,43479.637,43954.09,44546.4,45172.156,45850.71,46659.66,47789.15
13_8,2012-05-04,35417.715,33808.69,34337.438,34725.023,35076.777,35417.715,35769.977,36162.25,36647.133,37377.926
13_8,2012-05-11,34897.316,33441.457,33904.34,34269.8,34565.98,34897.316,35216.07,35586.223,35998.113,36628.234
13_8,2012-05-18,34388.66,32926.613,33421.297,33794.66,34084.098,34388.66,34677.29,35016.05,35380.773,35949.54
13_8,2012-05-25,34933.87,33373.652,33905.098,34289.01,34611.562,34933.87,35236.723,35582.66,35917.316,36483.707
13_8,2012-06-01,36115.273,34191.547,34841.02,35334.92,35738.86,36115.273,36496.875,36905.83,37335.25,38063.938
13_8,2012-06-08,37686.438,35331.656,36202.414,36777.457,37258.887,37686.438,38138.785,38598.36,39121.965,39864.93
19_8,2012-05-04,42226.15,40231.336,40915.324,41391.117,41809.074,42226.15,42657.973,43121.83,43740.758,44740.39
19_8,2012-05-11,41752.465,39940.06,40553.605,40999.086,41374.66,41752.465,42144.848,42618.355,43172.03,44088.19
19_8,2012-05-18,41170.234,39414.824,40011.434,40445.098,40802.926,41170.234,41536.06,41961.633,42462.57,43279.55
19_8,2012-05-25,41411.79,39660.95,40284.652,40704.6,41062.06,41411.79,41778.598,42207.65,42666.35,43476.05
19_8,2012-06-01,41862.99,39892.777,40565.547,41054.69,41461.473,41862.99,42280.477,42708.67,43215.58,44170.703
19_8,2012-06-08,43391.223,40977.445,41861.89,42448.754,42932.312,43391.223,43872.79,44379.062,44997.695,45949.113
31_13,2012-05-04,43539.797,41709.2,42324.645,42735.34,43141.6,43539.797,43909.37,44272.56,44755.76,45461.098
31_13,2012-05-11,44098.418,42249.316,42836.484,43297.98,43721.133,44098.418,44521.48,44969.934,45512.71,46302.19
31_13,2012-05-18,46619.793,44199.207,45021.523,45633.363,46136.93,46619.793,47081.79,47560.96,48097.805,48870.586
31_13,2012-05-25,46246.223,44167.79,44888.836,45367.367,45787.523,46246.223,46706.906,47172.918,47673.27,48485.047
31_13,2012-06-01,45377.844,43542.008,44132.48,44584.453,44979.727,45377.844,45755.09,46134.3,46558.875,47375.266
31_13,2012-06-08,44996.062,43218.055,43859.08,44290.61,44637.145,44996.062,45368.57,45759.734,46281.957,47076.227
