item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
4_4,2012-05-04,59152.71828653106,56471.482585481084,57271.55816655138,57895.686465093975,58508.53218383757,59152.71828653106,59857.064029282315,60644.17251073954,61634.629104082596,63209.25248257579
4_4,2012-05-11,58873.99905431352,56497.65695708489,57215.40174592989,57777.64872511999,58317.91989927256,58873.99905431352,59463.81771851586,60163.57543475926,61037.27356171794,62494.36592042803
4_4,2012-05-18,57412.750680540375,55116.920964657154,55794.52675811462,56313.151495353726,56888.79472718011,57412.750680540375,57956.81666920967,58565.53456732134,59348.209377036546,60756.53758314066
4_4,2012-05-25,63599.21342750973,61293.593422789665,61987.697181128795,62526.309561261594,63062.70432595387,63599.21342750973,64146.52892181341,64768.94138783271,65497.13935946683,66848.1177539358
4_4,2012-06-01,59732.95266314339,57246.229303060965,58017.92803372852,58606.50978095208,59180.77837185036,59732.95266314339,60289.31999905189,60922.937217846,61743.813532823995,63163.03388432363
4_4,2012-06-08,60252.79170984507,58059.95683557156,58691.17570872372,59230.87948619075,59724.92959345433,60252.79170984507,60797.451990348505,61431.09649407597,62225.841118881624,63578.50026524528
8_13,2012-05-04,24686.87229923467,23486.027188479242,23869.49379578451,24163.17908540347,24429.038264684674,24686.87229923467,24955.16945983195,25251.800718748094,25605.389849396517,26117.832311478884
8_13,2012-05-11,24807.994437064463,23724.528404072415,24081.551989557363,24346.123083186478,24583.042972123818,24807.994437064463,25034.295928821022,25309.61396845706,25632.377442785117,26101.82956747271
8_13,2012-05-18,25201.053032002048,24121.615551931733,24486.298050064095,24740.24665232037,24991.75815373198,25201.053032002048,25410.374280390904,25642.880190045937,25940.948422329933,26403.628225058354
8_13,2012-05-25,25718.269674221345,24624.508729245263,25008.1126790849,25271.741173038077,25505.054276871786,25718.269674221345,25929.710789605142,26173.910680317775,26439.932526692333,26876.948876988557
8_13,2012-06-01,24782.99574054828,23634.81259345915,24028.902264443685,24310.630752288587,24556.640143823453,24782.99574054828,25000.34635993112,25250.051838382573,25560.358667316017,26024.12180206968
8_13,2012-06-08,25659.048462677558,24598.730991623797,24954.811019920147,25225.992241668464,25442.88467473443,25659.048462677558,25881.40275707085,26151.981923473577,26457.767619753882,26895.460964518745
1_13,2012-05-04,42584.7798351442,40544.44000485425,41225.950811071634,41699.59644151902,42153.377967215645,42584.7798351442,43045.509285300875,43580.47314754155,44199.558930701896,45165.99407937453
1_13,2012-05-11,41631.76444015576,39848.050933271654,40458.53778856587,40882.40384408363,41270.73558005902,41631.76444015576,41983.76195295887,42426.28408664617,42950.76633335947,43804.984157319836
1_13,2012-05-18,40696.64527996829,39098.34555863258,39636.5503972512,39980.840431469456,40379.32780524996,40696.64527996829,40995.80822520421,41331.890967613064,41757.34714072456,42590.06316174123
1_13,2012-05-25,42412.49872884402,40674.939270927054,41270.02606510542,41674.716271409365,42051.634737692875,42412.49872884402,42740.92605654557,43124.67530356462,43496.06776773294,44339.71488908655
1_13,2012-06-01,42146.89861765362,39960.9868841161,40717.56931849298,41232.166659564464,41705.87708061503,42146.89861765362,42541.10662994267,43011.791271975846,43584.09447946943,44570.007303223836
1_13,2012-06-08,43319.53419961136,41246.471499167135,41948.39438244657,42446.371487582895,42857.63909708493,43319.53419961136,43780.93064588829,44321.59261028386,44972.87122440057,45943.69246551366
13_8,2012-05-04,35612.86860974114,34170.60774635429,34627.1980959356,34975.493185252846,35312.10216156922,35612.86860974114,35939.62845821162,36326.480101132016,36762.356626385335,37425.330966516754
13_8,2012-05-11,34644.27276310378,33412.70740958438,33809.03170582699,34104.12650759967,34374.881461278215,34644.27276310378,34920.383727172666,35237.668363240555,35604.78326769433,36153.885918266555
13_8,2012-05-18,33529.45632633243,32362.845937398935,32777.724821824304,33052.161567907555,33308.797350838904,33529.45632633243,33744.294311358266,34006.218602899266,34322.956271748444,34845.977837305545
13_8,2012-05-25,34949.19395070611,33629.458427908685,34096.25535575256,34409.143588289604,34696.23397289706,34949.19395070611,35205.43177249546,35487.87795733564,35797.055619884784,36361.87850811849
13_8,2012-06-01,37140.376689762,35243.20408867222,35977.81973930334,36432.898058653926,36800.4645683687,37140.376689762,37459.680488537495,37840.62809158905,38287.40905149723,38942.031856937356
13_8,2012-06-08,37881.61577155711,36143.43994527673,36778.24305941817,37186.92974186655,37538.19066049538,37881.61577155711,38225.4677179131,38620.668722720686,39062.594286303094,39734.13618613786
19_8,2012-05-04,43057.67869065694,41089.70575155133,41737.85564597863,42218.67045632284,42646.876630752486,43057.67869065694,43491.06659286338,43971.242895421005,44577.635769038345,45497.10327008138
19_8,2012-05-11,41203.30386429932,39272.74577906271,39914.380337974966,40393.78873366902,40808.737107958885,41203.30386429932,41610.893441868015,42102.90341879987,42699.93187132967,43620.67045153327
19_8,2012-05-18,41182.48658234858,39270.44696459816,39911.09637338133,40374.65229053413,40797.041688219295,41182.48658234858,41578.51045815285,42032.63704616926,42611.57783814929,43532.039124103416
19_8,2012-05-25,44195.22030967851,42307.2687900544,42944.49872703993,43405.6075665962,43815.06176646598,44195.22030967851,44594.55660560803,45062.42814755936,45632.96214521328,46546.92320652087
19_8,2012-06-01,40966.655692425426,39069.62469952003,39709.28032339211,40174.14676495966,40581.27418544588,40966.655692425426,41363.94122762807,41819.59788920403,42397.49441223498,43352.18515153864
19_8,2012-06-08,42815.40505642743,40908.26572652774,41556.41542470999,42031.26421395253,42436.79297323576,42815.40505642743,43212.72002838692,43683.98430374843,44272.4831616148,45226.995906662065
31_13,2012-05-04,42941.86571865882,41629.45877358997,42043.132648811494,42370.48685966735,42648.79963780486,42941.86571865882,43215.58273018193,43472.79626143867,43829.339314074,44295.555284660004
31_13,2012-05-11,42953.294275202694,41617.95736274896,42066.718236527006,42411.894310218566,42697.39017350129,42953.294275202694,43202.895830937414,43490.53184045624,43833.5912439446,44346.048506690655
31_13,2012-05-18,45846.54016485826,44167.85058644993,44770.40209743005,45157.88772326293,45532.62316366073,45846.54016485826,46157.93337291822,46455.71717957348,46836.05734342304,47390.92523852193
31_13,2012-05-25,45529.69997041765,44074.30334524351,44595.9656732548,44930.34748752418,45236.50202055213,45529.69997041765,45808.480697309846,46133.188335717794,46506.02136315584,47045.25524550072
31_13,2012-06-01,43514.8048966285,42240.25724065,42692.95238316066,43001.09619388725,43276.621987613005,43514.8048966285,43744.91676603766,43985.33840695869,44289.67390624125,44821.11442910106
31_13,2012-06-08,44008.221080559706,42747.17658583121,43186.55767388377,43530.61468916885,43794.95304263618,44008.221080559706,44229.979172813524,44479.44404131158,44800.12282341915,45271.57924597124
