メニュー名,内容説明,価格
本日のカルパッチョ,null,638
サーモンとアボカドのクリーミーきのこソース,null,693
マグロとイカのカルパッチョ,null,null
パリパリチキンの彩りズザ,null,null
ザンギ,null,528
ラムの鉄板焼き,null,null
焼豚マスタードソース,null,null
ポテトフライ,null,440
アンチョビポテト,null,506
生ハムのブレスケッタ,null,627
エビのマヨネーズ炒め,null,693
エビサラダ,null,null
ふふふマヨのつまみ,null,null
辛袋豆腐,null,594
春巻き3本,null,429
ギョーザ,null,null
わかさぎのフリッター揚げ,null,407
馬刺し,null,858
活ダコのよしやで,null,594
シーフードのフライ盛り合わせ,null,858
自家製のツナマスタードソース,null,858
モッツァレラチーズ,null,693
シーザーサラダ,null,638
イタリアンサラダ,null,748
スモークサラダ,null,null
氷 [大きさ上],null,null
あずま牛ステーキ弁当,null,2800
ハンバーグとエビフライ,null,null
エビマヨ丼,null,850
チキン南蛮弁当,null,850
華の弁当,null,950
唐揚げ弁当,null,750
null,null,null
null,null,null
