メニュー名,内容説明,価格
本日のカルパッチョ,null,638円
サーモンとアボカドのクリーミーわさびソース,null,693円
マグロとイカのタルタル,null,693円
パリパリチキンの香ソースがけ,null,627円
ザンギ,null,693円
ラムの鉄板焼き,null,693円
焼豚マスタードソース,null,594円
ポテトフライ,null,440円
アンチョビポテト,null,506円
ポテマヨキムチ,null,484円
生ハムのブルスケッタ,null,638円
エビのマヨネーズ炒め,null,627円
エビチリ,null,693円
ふわふわタマゴのカニあんかけ,null,605円
中華豆腐,null,385円
麻婆豆腐,null,594円
春巻 3本,null,429円
ギョーザ 6コ,null,440円
わかさぎのフリッター揚げ,null,407円
鳥刺し,null,858円
ほうれん草のおひたし,null,594円
丸ごと揚げニンニク,null,517円
若鶏の半身揚げ,null,858円
チーズの味噌漬け,null,539円
チーズ刺し（山わさびのせ）,null,539円
枝豆との唐揚げ（わさび塩添）,null,484円
わさび枝豆,null,385円
山わさびたっぷりお漬物,null,385円
牛タン塩辛ギャザーガーリック,null,825円
ガーリックトースト,null,484円
ゴーヤの唐揚げ,null,462円
ゴーヤチャンプル,null,627円
シーフードのフライ盛合わせ,null,858円
白身魚のソテーマスタードソース,null,858円
モッツァレラチーズと蒸し鶏の和風サラダ,null,693円
シーザースサラダ,null,638円
イタリアンサラダ,null,748円
スモークサラダ,null,748円
水菜とジャコのサラダ,null,594円
豚肉の冷しゃぶサラダ,null,594円
ハンバーグステーキ 200g,null,935円
ハンバーグステーキ 300g,null,1375円
チーズハンバーグステーキ 200g,null,1045円
チーズハンバーグステーキ 300g,null,1485円
和風ハンバーグステーキ 200g,null,935円
和風ハンバーグステーキ 300g,null,1375円
ポークステーキ（デミグラスソース）,null,990円
ポークステーキ（ガーリックソース）,null,990円
チーズポークステーキ（デミグラスソース）,null,1045円
チキンソテー（デミグラスソース）,null,935円
チキンソテー（ガーリックソース）,null,935円
チーズチキンソテー（レモンソース）,null,1045円
カルボナーラ,null,902円
たらこスパゲッティ,null,935円
めんたいこスパゲッティ,null,935円
スパゲッティジェノベーゼ（バジル）,null,902円
キノコたっぷりペペロンチーノ,null,880円
ピッツァ マルゲリータ,null,1089円
五目やきそば,null,792円
五目あんかけやきソバ,null,792円
豚肉細切りあんかけチャーハン,null,792円
チャーハン,null,660円
ザーサイとレタスのチャーハン,null,748円
オムライス,null,770円
デミオムライス,null,770円
あずま牛ステーキ弁当,null,2800円
ハンバーグとエビフライのMIX弁当,null,1200円
ハンバーグ弁当,null,1000円
MEGAハンバーグ弁当,null,1400円
ポークステーキ弁当,null,1100円
チキンステーキ弁当,null,950円
唐揚げ弁当,null,750円
エビチリ弁当,null,850円
エビマヨ弁当,null,850円
チキン南蛮弁当,null,850円
チキンカツおろしポン酢弁当,null,850円
