メニュー名,内容説明,価格
No.1 omelet with fried rice,ketchup-seasoned fried rice,¥900
No.2 large serving of omelet,filling of ketchup-seasoned fried rice,¥1300
No.3 fried prawns,null,¥1100
No.4 pork cutlet,null,¥1100
Pork Singer Donburi,null,¥900
TAKITORI Donburi,null,¥900
minced tuna with spring onion Donburi,null,¥1100
spaghetti carbonara,with meats,¥900
corn soup,null,¥400
chicken nuggets,null,¥400
japanese takoyaki,octopus balls,¥400
fries,null,¥400
cheese & crackers,null,¥350
side salad,null,¥200
rice,null,¥200
bread,null,¥200
nozawana,null,¥300
cake,null,¥450
cake set,with coffee or tea,¥650
pancake,null,¥400
pancake set,with coffee or tea or ice cream,¥550
ice cream,"vanilla, green tea or chocolate",¥350
coffee,null,¥350
iced coffee,null,¥400
cafe cappuccino,null,¥400
cafe latte,null,¥400
hot chocolate,null,¥400
tea with lemon or milk,null,¥400
hot milk,null,¥400
draft beer,null,¥600
bottled beer,null,¥500
shigakogen beer,null,¥500
oolong tea,iced or hot,¥400
coke,null,¥400
ginger ale,null,¥400
orange juice,null,¥300
apple juice,null,¥400
non-alcoholic beer,null,¥400
unrefined sake,null,¥650
premium wine,red or white,¥600
