メニュー名,内容説明,価格
オムライス,fried rice with a filling of ketchup-seasoned,¥900
大盛オムライス,large serving of omelet with a filling of ketchup-seasoned fried rice,¥1300
エビフライ,fried prawns,¥1100
ポークカツ,pork cutlet,¥1100
豚生姜丼,Pork Ginger Donburi,¥900
タキトリ丼,TAKITORI Donburi,¥900
ネギトロ丼,minced tuna with spring onion Donburi,¥1100
カルボナーラ,spaghetti carbonara with meats,¥900
コーンスープ,corn soup,¥400
チキンナゲット,chicken nuggets,¥400
たこ焼き,japanese takoyaki/octopus balls,¥400
フライドポテト,french fries,¥350
チーズ＆クラッカー,cheese & crackers,¥350
サイドサラダ,side salad,¥200
ライス,rice,¥200
パン,bread,¥200
野沢菜,nozawana,¥300
ケーキ,cake,¥450
ケーキセット,cake set with coffee or tea,¥650
パンケーキ,pancake,¥350
パンケーキセット,pancake set with coffee or tea or ice cream,¥550
アイスクリーム,"ice cream: vanilla, green tea or chocolate",¥350
