Sun Apr 21 09:00:47 2024 Fold 0, Epoch 0, lr: 0.0001000, loss_train: 4.85609, loss_valid: 4.76062.
Sun Apr 21 09:01:25 2024 Fold 0, Epoch 1, lr: 0.0000000, loss_train: 4.61127, loss_valid: 4.74016.
Sun Apr 21 09:02:40 2024 Fold 0, Epoch 0, lr: 0.0001000, loss_train: 4.95731, loss_valid: 4.74100.
Sun Apr 21 09:03:18 2024 Fold 0, Epoch 1, lr: 0.0000000, loss_train: 4.65893, loss_valid: 4.78197.
Sun Apr 21 09:06:32 2024 Fold 0, Epoch 0, lr: 0.0001000, loss_train: 4.14609, loss_valid: 4.11546.
Sun Apr 21 09:06:50 2024 Fold 0, Epoch 1, lr: 0.0000854, loss_train: 3.84524, loss_valid: 4.13177.
Sun Apr 21 09:07:07 2024 Fold 0, Epoch 2, lr: 0.0000500, loss_train: 3.68337, loss_valid: 4.11621.
Sun Apr 21 09:07:25 2024 Fold 0, Epoch 3, lr: 0.0000147, loss_train: 3.54608, loss_valid: 4.09652.
Sun Apr 21 09:07:45 2024 Fold 0, Epoch 4, lr: 0.0000000, loss_train: 3.55127, loss_valid: 4.06438.
Sun Apr 21 09:39:53 2024 Fold 0, Epoch 0, lr: 0.0001000, loss_train: 4.10868, loss_valid: 4.11523.
Sun Apr 21 09:40:12 2024 Fold 0, Epoch 1, lr: 0.0000854, loss_train: 3.77367, loss_valid: 4.05414.
Sun Apr 21 09:40:29 2024 Fold 0, Epoch 2, lr: 0.0000500, loss_train: 3.62575, loss_valid: 4.06033.
Sun Apr 21 09:40:47 2024 Fold 0, Epoch 3, lr: 0.0000147, loss_train: 3.54032, loss_valid: 4.05224.
Sun Apr 21 09:41:05 2024 Fold 0, Epoch 4, lr: 0.0000000, loss_train: 3.46890, loss_valid: 4.06066.
Sun Apr 21 09:44:49 2024 Fold 0, Epoch 0, lr: 0.0001000, loss_train: 3.17008, loss_valid: 3.18401.
Sun Apr 21 09:45:10 2024 Fold 0, Epoch 1, lr: 0.0000854, loss_train: 2.75401, loss_valid: 3.17866.
Sun Apr 21 09:45:32 2024 Fold 0, Epoch 2, lr: 0.0000500, loss_train: 2.57625, loss_valid: 3.08796.
Sun Apr 21 09:45:54 2024 Fold 0, Epoch 3, lr: 0.0000147, loss_train: 2.42090, loss_valid: 3.01452.
Sun Apr 21 09:46:16 2024 Fold 0, Epoch 4, lr: 0.0000000, loss_train: 2.42134, loss_valid: 2.96683.
Sun Apr 21 09:47:55 2024 Fold 0, Epoch 0, lr: 0.0001000, loss_train: 2.35537, loss_valid: 2.23787.
Sun Apr 21 09:48:20 2024 Fold 0, Epoch 1, lr: 0.0000854, loss_train: 1.91417, loss_valid: 2.05324.
Sun Apr 21 09:48:45 2024 Fold 0, Epoch 2, lr: 0.0000500, loss_train: 1.65971, loss_valid: 1.88012.
Sun Apr 21 09:49:11 2024 Fold 0, Epoch 3, lr: 0.0000147, loss_train: 1.51938, loss_valid: 1.83664.
Sun Apr 21 09:49:36 2024 Fold 0, Epoch 4, lr: 0.0000000, loss_train: 1.47038, loss_valid: 1.79098.
